Package,Class,Field,Type,Description Rating,Has Example?
ExcelScript,ExcelScript.Binding,"getText()",Method,Excellent,false
ExcelScript,ExcelScript.Binding,"getType()",Method,Good,false
ExcelScript,ExcelScript.BindingType,N/A,Enum,Missing,false
ExcelScript,ExcelScript.BindingType,"range",EnumField,Missing,false
ExcelScript,ExcelScript.BindingType,"table",EnumField,Missing,false
ExcelScript,ExcelScript.BindingType,"text",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,N/A,Enum,Missing,true
ExcelScript,ExcelScript.BorderIndex,"diagonalDown",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"diagonalUp",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"edgeBottom",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"edgeLeft",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"edgeRight",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"edgeTop",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"insideHorizontal",EnumField,Missing,false
ExcelScript,ExcelScript.BorderIndex,"insideVertical",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,N/A,Enum,Missing,true
ExcelScript,ExcelScript.BorderLineStyle,"continuous",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"dash",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"dashDot",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"dashDotDot",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"dot",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"double",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"none",EnumField,Missing,false
ExcelScript,ExcelScript.BorderLineStyle,"slantDashDot",EnumField,Missing,false
ExcelScript,ExcelScript.BorderWeight,N/A,Enum,Missing,true
ExcelScript,ExcelScript.BorderWeight,"hairline",EnumField,Missing,false
ExcelScript,ExcelScript.BorderWeight,"medium",EnumField,Missing,false
ExcelScript,ExcelScript.BorderWeight,"thick",EnumField,Missing,false
ExcelScript,ExcelScript.BorderWeight,"thin",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,N/A,Enum,Missing,true
ExcelScript,ExcelScript.BuiltInStyle,"accent1",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent1_20",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent1_40",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent1_60",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent2",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent2_20",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent2_40",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent2_60",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent3",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent3_20",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent3_40",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent3_60",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent4",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent4_20",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent4_40",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent4_60",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent5",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent5_20",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent5_40",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent5_60",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent6",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent6_20",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent6_40",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"accent6_60",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"bad",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"calculation",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"checkCell",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"comma",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"currency",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"emphasis1",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"emphasis2",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"emphasis3",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"explanatoryText",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"good",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"heading1",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"heading2",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"heading3",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"heading4",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"hlink",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"hlinkTrav",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"input",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"linkedCell",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"neutral",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"normal",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"note",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"output",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"percent",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"sheetTitle",EnumField,Missing,false
